fundHouse,schemeCode,fundName
UTI Mutual Fund,130385,UTI FTIF Series XIX - VI (366 Days) - Maturity Div Option
UTI Mutual Fund,130390,UTI FTIF Series XIX - VI (366 Days) - Maturity Div Option - Direct
UTI Mutual Fund,130391,UTI FTIF Series XIX - VI (366 Days) - Quarterly Div Option -Direct
UTI Mutual Fund,130388,UTI FTIF Series XIX - VI (366 Days)- Annual Div Option
UTI Mutual Fund,130389,UTI FTIF Series XIX - VI (366 Days)- Annual Div Option - Direct
UTI Mutual Fund,130387,UTI FTIF Series XIX - VI (366 Days)- Growth Option - Direct
UTI Mutual Fund,130384,UTI FTIF Series XIX - VI (366 Days)- Quarterly Div Option
UTI Mutual Fund,130362,UTI FTIF Series XIX - VII (1095 Days ) - Growth Option - Direct
UTI Mutual Fund,130361,UTI FTIF Series XIX - VII (1095 Days) - Growth Option
UTI Mutual Fund,130397,UTI FTIF Series XIX - VII (1095 Days) - Maturity Div Option
UTI Mutual Fund,130398,UTI FTIF Series XIX - VII (1095 Days) - Maturity Div Option - Direct
UTI Mutual Fund,130396,UTI FTIF Series XIX - VII (1095 Days) - Quarterly Div Option - Direct
UTI Mutual Fund,130393,UTI FTIF Series XIX - VII (1095 Days)- Annual Div Option
UTI Mutual Fund,130395,UTI FTIF Series XIX - VII (1095 Days)- Quarterly Div Option
UTI Mutual Fund,130363,UTI FTIF Series XIX - VIII ( 368 Days )- Growth Option
UTI Mutual Fund,130371,UTI FTIF Series XIX - VIII (368 Days) - Annual Div Option
UTI Mutual Fund,130366,UTI FTIF Series XIX - VIII (368 Days) - Annual Div Option - Direct
UTI Mutual Fund,130370,UTI FTIF Series XIX - VIII (368 Days) - Growth Option - Direct
UTI Mutual Fund,130367,UTI FTIF Series XIX - VIII (368 Days) - Maturity Div Option
UTI Mutual Fund,130372,UTI FTIF Series XIX - VIII (368 Days) - Quarterly Div Option
UTI Mutual Fund,130373,UTI FTIF Series XIX - VIII (368 Days) - Quarterly Div Option - Direct
UTI Mutual Fund,130693,UTI FTIF Series XIX - X (367 Days) - Annual Div Option
UTI Mutual Fund,130582,UTI FTIF Series XIX - X (367 Days) - Growth Option
UTI Mutual Fund,130692,UTI FTIF Series XIX - X (367 Days) - Growth Option - Direct
UTI Mutual Fund,130697,UTI FTIF Series XIX - X (367 Days) - Maturity Div Option
UTI Mutual Fund,130698,UTI FTIF Series XIX - X (367 Days) - Quarterly Div Option
UTI Mutual Fund,130696,UTI FTIF Series XIX - X (367 Days) - Quarterly Div Option - Direct
UTI Mutual Fund,130670,UTI FTIF Series XIX - XI (366 Days) - Annual Div Option
UTI Mutual Fund,130671,UTI FTIF Series XIX - XI (366 Days) - Annual Div Option - Direct
UTI Mutual Fund,130668,UTI FTIF Series XIX - XI (366 Days) - Growth Option
UTI Mutual Fund,130669,UTI FTIF Series XIX - XI (366 Days) - Growth Option - Direct
UTI Mutual Fund,130673,UTI FTIF Series XIX - XI (366 Days) - Maturity Div Option
UTI Mutual Fund,130674,UTI FTIF Series XIX - XI (366 Days) - Maturity Div Option - Direct
UTI Mutual Fund,130672,UTI FTIF Series XIX - XI (366 Days) - Quarterly Div Option
UTI Mutual Fund,130679,UTI FTIF Series XIX - XII (366 Days) - Annual Div Option
UTI Mutual Fund,130682,UTI FTIF Series XIX - XII (366 Days) - Flexi Div Option
UTI Mutual Fund,130678,UTI FTIF Series XIX - XII (366 Days) - Growth Option
UTI Mutual Fund,130685,UTI FTIF Series XIX - XII (366 Days) - Growth Option - Direct
UTI Mutual Fund,130686,UTI FTIF Series XIX - XII (366 Days) - Maturity Div Option
UTI Mutual Fund,130681,UTI FTIF Series XIX - XII (366 Days) - Quarterly Div Option
UTI Mutual Fund,131206,UTI FTIF Series XIX - XIX (1101 Days) - Annual Div Option
UTI Mutual Fund,131207,UTI FTIF Series XIX - XIX (1101 Days) - Annual Div Option - Direct
UTI Mutual Fund,131211,UTI FTIF Series XIX - XIX (1101 Days) - Flexi Div Option
UTI Mutual Fund,131080,UTI FTIF Series XIX - XIX (1101 Days) - Growth Option
UTI Mutual Fund,131213,UTI FTIF Series XIX - XIX (1101 Days) - Growth Option - Direct
UTI Mutual Fund,131210,UTI FTIF Series XIX - XIX (1101 Days) - Maturity Div Option
UTI Mutual Fund,131208,UTI FTIF Series XIX - XIX (1101 Days) - Quarterly Div Option
UTI Mutual Fund,131209,UTI FTIF Series XIX - XIX (1101 Days) - Quarterly Div Option - Direct
UTI Mutual Fund,131072,UTI FTIF Series XIX - XV (1101 Days) - Annual Div Option
UTI Mutual Fund,131073,UTI FTIF Series XIX - XV (1101 Days) - Annual Div Option - Direct
UTI Mutual Fund,131074,UTI FTIF Series XIX - XV (1101 Days) - Flexi Div Option
UTI Mutual Fund,130808,UTI FTIF Series XIX - XV (1101 Days) - Growth Option
UTI Mutual Fund,131071,UTI FTIF Series XIX - XV (1101 Days) - Growth Option - Direct
UTI Mutual Fund,131068,UTI FTIF Series XIX - XV (1101 Days) - Maturity Div Option
UTI Mutual Fund,131070,UTI FTIF Series XIX - XV (1101 Days) - Quarterly Div Option
UTI Mutual Fund,131067,UTI FTIF Series XIX - XV (1101 Days) - Quarterly Div Option - Direct
UTI Mutual Fund,131154,UTI FTIF Series XIX - XVIII (1105 Days) - Annual Div Option
UTI Mutual Fund,131155,UTI FTIF Series XIX - XVIII (1105 Days) - Annual Div Option - Direct
UTI Mutual Fund,131157,UTI FTIF Series XIX - XVIII (1105 Days) - Flexi Div Option
UTI Mutual Fund,130979,UTI FTIF Series XIX - XVIII (1105 Days) - Growth Option - Direct
UTI Mutual Fund,131153,UTI FTIF Series XIX - XVIII (1105 Days) - Maturity Div Option
UTI Mutual Fund,131159,UTI FTIF Series XIX - XVIII (1105 Days) - Quarterly Div Option
UTI Mutual Fund,131156,UTI FTIF Series XIX - XVIII (1105 Days) - Quarterly Div Option  -Direct
UTI Mutual Fund,130980,UTI FTIF Series XIX -XVIII (1105 Days) - Growth Option
UTI Mutual Fund,131100,UTI FTIF Series XIX - XX (1099 Days) - Annual Div Option
UTI Mutual Fund,131081,UTI FTIF Series XIX - XX (1099 Days) - Growth Option
UTI Mutual Fund,131107,UTI FTIF Series XIX - XX (1099 Days) - Growth Option - Direct
UTI Mutual Fund,131105,UTI FTIF Series XIX - XX (1099 Days) - Maturity Div Option
UTI Mutual Fund,131108,UTI FTIF Series XIX - XX (1099 Days) - Quarterly Div Option
UTI Mutual Fund,130132,UTI FTIF Series XIX- I (369 Days) - Annual Div Option
UTI Mutual Fund,130128,UTI FTIF Series XIX- I (369 Days) - Annual Div Option - Direct
UTI Mutual Fund,130131,UTI FTIF Series XIX- I (369 Days) - Growth Option
UTI Mutual Fund,130129,UTI FTIF Series XIX- I (369 Days) - Maturity Div Option
UTI Mutual Fund,130130,UTI FTIF Series XIX- I (369 Days) - Maturity Div Option - Direct
UTI Mutual Fund,130126,UTI FTIF Series XIX- I (369 Days) - Quarterly Div Option
UTI Mutual Fund,130127,UTI FTIF Series XIX- I (369 Days) - Quarterly Div Option - Direct
UTI Mutual Fund,130125,UTI FTIF Series XIX- I (369 Days)- Growth Option - Direct
UTI Mutual Fund,130143,UTI FTIF Series XIX- II (368 Days) - Annual Div Option
UTI Mutual Fund,130137,UTI FTIF Series XIX- II (368 Days) - Annual Div Option - Direct
UTI Mutual Fund,130135,UTI FTIF Series XIX- II (368 Days) - Growth Option
UTI Mutual Fund,130136,UTI FTIF Series XIX- II (368 Days) - Growth Option -Direct
UTI Mutual Fund,130140,UTI FTIF Series XIX- II (368 Days) - Maturity Div Option
UTI Mutual Fund,130141,UTI FTIF Series XIX- II (368 Days) - Maturity Div Option - Direct
UTI Mutual Fund,130138,UTI FTIF Series XIX- II (368 Days) - Quarterly Div Option
UTI Mutual Fund,130139,UTI FTIF Series XIX- II (368 Days) - Quarterly Div Option - Direct
UTI Mutual Fund,123123,UTI FTIF Series XV -VIII (368 DAYS) - Annual Div Option
UTI Mutual Fund,123121,UTI FTIF Series XV -VIII (368 DAYS) - Growth Option
UTI Mutual Fund,123122,UTI FTIF Series XV -VIII (368 DAYS) - Growth Option - Direct
UTI Mutual Fund,123128,UTI FTIF Series XV -VIII (368 DAYS) - Quarterly Div Option
UTI Mutual Fund,123124,UTI FTIF Series XV -VIII (368 DAYS) - Quarterly Div Option - Direct
UTI Mutual Fund,123665,UTI FTIF Series XV -X (368 DAYS) - Annual Div Option- Direct
UTI Mutual Fund,123666,UTI FTIF Series XV -X (368 DAYS) - Growth Option
UTI Mutual Fund,123667,UTI FTIF Series XV -X (368 DAYS) - Growth Option -Direct
UTI Mutual Fund,123671,UTI FTIF Series XV -X (368 DAYS) - Maturity Div Option - Direct
UTI Mutual Fund,123888,UTI FTIF Series XVI - I (366 DAYS) - Growth Option
UTI Mutual Fund,123896,UTI FTIF Series XVI - I (366 DAYS) - Growth Option - Direct
UTI Mutual Fund,123916,UTI FTIF Series XVI - II (1100 DAYS) - Annual Div Option
UTI Mutual Fund,123917,UTI FTIF Series XVI - II (1100 DAYS) - Annual Div Option - Direct
UTI Mutual Fund,123924,UTI FTIF Series XVI - II (1100 DAYS) - Flexi Div Option
UTI Mutual Fund,123922,UTI FTIF Series XVI - II (1100 DAYS) - Growth Option
UTI Mutual Fund,123923,UTI FTIF Series XVI - II (1100 DAYS) - Growth Option - Direct
UTI Mutual Fund,123918,UTI FTIF Series XVI - II (1100 DAYS) - Quarterly Div Option
UTI Mutual Fund,123919,UTI FTIF Series XVI - II (1100 DAYS) - Quarterly Div Option - Direct
UTI Mutual Fund,123935,UTI FTIF Series XVI - III (368 DAYS) - Annual Div Option
UTI Mutual Fund,123931,UTI FTIF Series XVI - III (368 DAYS) - Annual Div Option - Direct
UTI Mutual Fund,123928,UTI FTIF Series XVI - III (368 DAYS) - Flexi Div Option
UTI Mutual Fund,123934,UTI FTIF Series XVI - III (368 DAYS) - Growth Option
UTI Mutual Fund,123930,UTI FTIF Series XVI - III (368 DAYS) - Growth Option - Direct
UTI Mutual Fund,123927,UTI FTIF Series XVI - III (368 DAYS) - Maturity Div Option - Direct
UTI Mutual Fund,123932,UTI FTIF Series XVI - III (368 DAYS) - Quarterly Div Option
UTI Mutual Fund,124563,UTI FTIF Series XVI - IV (369 DAYS) - Annual Div Option - Direct
UTI Mutual Fund,124560,UTI FTIF Series XVI - IV (369 DAYS) - Growth Option
UTI Mutual Fund,124555,UTI FTIF Series XVI - IV (369 DAYS) - Growth Option - Direct
UTI Mutual Fund,124564,UTI FTIF Series XVI - IV (369 DAYS) - Maturity Div Option
UTI Mutual Fund,124558,UTI FTIF Series XVI - IV (369 DAYS) - Quarterly Div Option - Direct
UTI Mutual Fund,125089,UTI FTIF Series XVI - IX (368 DAYS) - Growth Option
UTI Mutual Fund,125090,UTI FTIF Series XVI - IX (368 DAYS) - Growth Option - Direct
UTI Mutual Fund,125093,UTI FTIF Series XVI - IX (368 DAYS) - Quarterly Div Option
UTI Mutual Fund,124671,UTI FTIF Series XVI - V (731 DAYS) - Annual Div Option
UTI Mutual Fund,124674,UTI FTIF Series XVI - V (731 DAYS) - Quarterly Div Option - Direct
UTI Mutual Fund,124672,UTI FTIF Series XVI - V (731 DAYS)- Annual Div Option - Direct
UTI Mutual Fund,124675,UTI FTIF Series XVI - V (731 DAYS)- Growth Option
UTI Mutual Fund,124673,UTI FTIF Series XVI - V (731 DAYS)- Growth Option - Direct
UTI Mutual Fund,124676,UTI FTIF Series XVI - V (731 DAYS)- Maturity Div Option
UTI Mutual Fund,124677,UTI FTIF Series XVI - V (731 DAYS)- Quarterly Div Option
UTI Mutual Fund,124929,UTI FTIF Series XVI - VII (366 DAYS) - Annual Div Option
UTI Mutual Fund,124925,UTI FTIF Series XVI - VII (366 DAYS) - Growth Option - Direct
UTI Mutual Fund,124932,UTI FTIF Series XVI - VII (366 DAYS) -Flexi Div Option
UTI Mutual Fund,124924,UTI FTIF Series XVI - VII (366 DAYS) -Growth Option
UTI Mutual Fund,124931,UTI FTIF Series XVI - VII (366 DAYS) -Quarterly Div Option
UTI Mutual Fund,124949,UTI FTIF Series XVI - VIII (368 DAYS)- Growth Option - Direct
UTI Mutual Fund,124942,UTI FTIF Series XVI - VIII (368 DAYS)-Growth Option
UTI Mutual Fund,124945,UTI FTIF Series XVI - VIII (368 DAYS)-Quarterly Div Option
UTI Mutual Fund,125377,UTI FTIF Series XVI - X (369 DAYS) - Growth Option
UTI Mutual Fund,125372,UTI FTIF Series XVI - X (369 DAYS) - Growth Option - Direct
UTI Mutual Fund,125378,UTI FTIF Series XVI - X (369 DAYS) - Quarterly Div Option
UTI Mutual Fund,125552,UTI FTIF Series XVII - I (369 DAYS) - Annual Div Option
UTI Mutual Fund,125551,UTI FTIF Series XVII - I (369 DAYS) - Growth Option
UTI Mutual Fund,125554,UTI FTIF Series XVII - I (369 DAYS) - Growth Option - Direct
UTI Mutual Fund,125558,UTI FTIF Series XVII - I (369 DAYS) - Maturity Div Option
UTI Mutual Fund,125556,UTI FTIF Series XVII - I (369 DAYS) - Quarterly Div Option
UTI Mutual Fund,125555,UTI FTIF Series XVII - I (369 DAYS) - Quarterly Div Option - Direct
UTI Mutual Fund,126320,UTI FTIF Series XVII - IV (531 DAYS) - Annual Div Option
UTI Mutual Fund,126321,UTI FTIF Series XVII - IV (531 DAYS) - Annual Div Option - Direct
UTI Mutual Fund,126319,UTI FTIF Series XVII - IV (531 DAYS) - Growth Option
UTI Mutual Fund,126323,UTI FTIF Series XVII - IV (531 DAYS) - Growth Option - Direct
UTI Mutual Fund,126317,UTI FTIF Series XVII - IV (531 DAYS) - Maturity Div Option - Direct
UTI Mutual Fund,126314,UTI FTIF Series XVII - IV (531 DAYS) - Quarterly Div Option
UTI Mutual Fund,126315,UTI FTIF Series XVII - IV (531 DAYS) - Quarterly Div Option - Direct
UTI Mutual Fund,126782,UTI FTIF Series XVII -IX (466 DAYS)-Flexi Div Option - Direct
UTI Mutual Fund,126783,UTI FTIF Series XVII -IX (466 DAYS)-Growth Option
UTI Mutual Fund,126784,UTI FTIF Series XVII -IX (466 DAYS)-Growth Option - Direct
UTI Mutual Fund,126787,UTI FTIF Series XVII -IX (466 DAYS)-Quarterly Div Option
UTI Mutual Fund,126788,UTI FTIF Series XVII -IX (466 DAYS)-Quarterly Div Option - Direct
UTI Mutual Fund,126656,UTI FTIF Series XVII -VIII (1096 DAYS)- Annual Div Option
UTI Mutual Fund,126663,UTI FTIF Series XVII -VIII (1096 DAYS)- Maturity Div Option - Direct
UTI Mutual Fund,126657,UTI FTIF Series XVII -VIII (1096 DAYS)-Annual Div Option - Direct
UTI Mutual Fund,126661,UTI FTIF Series XVII -VIII (1096 DAYS)-Flexi Div Option
UTI Mutual Fund,126664,UTI FTIF Series XVII -VIII (1096 DAYS)-Flexi Div Option - Direct
UTI Mutual Fund,126655,UTI FTIF Series XVII -VIII (1096 DAYS)-Growth Option
UTI Mutual Fund,126662,UTI FTIF Series XVII -VIII (1096 DAYS)-Growth Option - Direct
UTI Mutual Fund,126660,UTI FTIF Series XVII -VIII (1096 DAYS)-Maturity Div Option
UTI Mutual Fund,126658,UTI FTIF Series XVII -VIII (1096 DAYS)-Quarterly Div Option
UTI Mutual Fund,126659,UTI FTIF Series XVII -VIII (1096 DAYS)-Quarterly Div Option - Direct
UTI Mutual Fund,127118,UTI FTIF Series XVII -X (1152 DAYS)-Annual Div Option - Direct
UTI Mutual Fund,127115,UTI FTIF Series XVII -X (1152 DAYS)-Growth Option
UTI Mutual Fund,127116,UTI FTIF Series XVII -X (1152 DAYS)-Growth Option - Direct
UTI Mutual Fund,127119,UTI FTIF Series XVII -X (1152 DAYS)-Quarterly Div Option
UTI Mutual Fund,127210,UTI FTIF Series XVII -XI (430 DAYS)- Annual Div Option
UTI Mutual Fund,127216,UTI FTIF Series XVII -XI (430 DAYS)-Growth Option
UTI Mutual Fund,127209,UTI FTIF Series XVII -XI (430 DAYS)-Growth Option - Direct
UTI Mutual Fund,127453,UTI FTIF Series XVII - XII (1148 DAYS)- Annual Div Option
UTI Mutual Fund,127445,UTI FTIF Series XVII - XII (1148 DAYS)-Annual Div Option - Direct
UTI Mutual Fund,127452,UTI FTIF Series XVII - XII (1148 DAYS)-Growth Option
UTI Mutual Fund,127444,UTI FTIF Series XVII - XII (1148 DAYS)-Growth Option - Direct
UTI Mutual Fund,127446,UTI FTIF Series XVII - XII (1148 DAYS)-Quarterly Div Option
UTI Mutual Fund,127447,UTI FTIF Series XVII - XII (1148 DAYS)-Quarterly Div Option - Direct
UTI Mutual Fund,127460,UTI FTIF Series XVII - XIII (369 DAYS)-Growth Option
UTI Mutual Fund,127461,UTI FTIF Series XVII - XIII (369 DAYS)-Growth Option - Direct
UTI Mutual Fund,127467,UTI FTIF Series XVII - XIII (369 DAYS)-Maturity Div Option
UTI Mutual Fund,127630,UTI FTIF Series XVII -XIV (423 DAYS)- Growth Option
UTI Mutual Fund,127631,UTI FTIF Series XVII -XIV (423 DAYS)-Growth Option - Direct
UTI Mutual Fund,127634,UTI FTIF Series XVII -XIV (423 DAYS)-Quarterly Div Option
UTI Mutual Fund,128277,UTI FTIF Series XVII -XIX (398 DAYS) - Growth Option
UTI Mutual Fund,128286,UTI FTIF Series XVII -XIX (398 DAYS) - Growth Option - Direct
UTI Mutual Fund,128282,UTI FTIF Series XVII -XIX (398 DAYS)-Maturity Div Option
UTI Mutual Fund,127642,UTI FTIF Series XVII -XV (1825 DAYS)- Annual Div Option
UTI Mutual Fund,127648,UTI FTIF Series XVII -XV (1825 DAYS)-Flexi Div Option
UTI Mutual Fund,127640,UTI FTIF Series XVII -XV (1825 DAYS)-Growth Option
UTI Mutual Fund,127641,UTI FTIF Series XVII -XV (1825 DAYS)-Growth Option - Direct
UTI Mutual Fund,127646,UTI FTIF Series XVII -XV (1825 DAYS)-Maturity Div Option
UTI Mutual Fund,127644,UTI FTIF Series XVII -XV (1825 DAYS)-Quarterly Div Option
UTI Mutual Fund,127645,UTI FTIF Series XVII -XV (1825 DAYS)-Quarterly Div Option - Direct
UTI Mutual Fund,127819,UTI FTIF Series XVII -XVI (367 DAYS)- Annual Div Option
UTI Mutual Fund,127815,UTI FTIF Series XVII -XVI (367 DAYS)- Growth Option
UTI Mutual Fund,127817,UTI FTIF Series XVII -XVI (367 DAYS)-Flexi Div Option
UTI Mutual Fund,127816,UTI FTIF Series XVII -XVI (367 DAYS)-Growth Option - Direct
UTI Mutual Fund,128127,UTI FTIF Series XVII -XVII (395 DAYS)-Growth Option
UTI Mutual Fund,128132,UTI FTIF Series XVII -XVII (395 DAYS)-Growth Option - Direct
UTI Mutual Fund,128130,UTI FTIF Series XVII -XVII (395 DAYS)-Maturity Div Option
UTI Mutual Fund,128137,UTI FTIF Series XVII -XVIII (796 DAYS)-Growth Option
UTI Mutual Fund,128138,UTI FTIF Series XVII -XVIII (796 DAYS)-Growth Option - Direct
UTI Mutual Fund,128140,UTI FTIF Series XVII -XVIII (796 DAYS)-Quarterly Div Option
UTI Mutual Fund,128287,UTI FTIF Series XVII -XX (369 DAYS)-Growth Option
UTI Mutual Fund,128295,UTI FTIF Series XVII -XX (369 DAYS)-Growth Option - Direct
UTI Mutual Fund,128290,UTI FTIF Series XVII -XX (369 DAYS)-Quarterly Div Option - Direct
UTI Mutual Fund,129590,UTI FTIF Series XVIII - IX (733 Days) - Annual Div Option
UTI Mutual Fund,129591,UTI FTIF Series XVIII - IX (733 Days) - Annual Div Option - Direct
UTI Mutual Fund,129598,UTI FTIF Series XVIII - IX (733 Days) - Flexi Div Option
UTI Mutual Fund,129592,UTI FTIF Series XVIII - IX (733 Days) - Growth Option
UTI Mutual Fund,129593,UTI FTIF Series XVIII - IX (733 Days) - Growth Option - Direct
UTI Mutual Fund,129596,UTI FTIF Series XVIII - IX (733 Days) - Maturity Div Option
UTI Mutual Fund,129594,UTI FTIF Series XVIII - IX (733 Days) - Quarterly Div Option
UTI Mutual Fund,129544,UTI FTIF Series XVIII - VIII ( 366 days ) - Annual Div Option
UTI Mutual Fund,129549,UTI FTIF Series XVIII - VIII (366 Days) - Growth Option - Direct
UTI Mutual Fund,129547,UTI FTIF Series XVIII - VIII (366 Days) - Quarterly Div Option
UTI Mutual Fund,129550,UTI FTIF Series XVIII - VIII (366 days)- Growth Option
UTI Mutual Fund,129602,UTI FTIF Series XVIII - X (366 Days) - Annual Div Option
UTI Mutual Fund,129600,UTI FTIF Series XVIII - X (366 Days) - Annual Div Option - Direct
UTI Mutual Fund,129601,UTI FTIF Series XVIII - X (366 Days) - Growth Option
UTI Mutual Fund,129603,UTI FTIF Series XVIII - X (366 Days) - Growth Option - Direct
UTI Mutual Fund,129604,UTI FTIF Series XVIII - X (366 Days) - Quarterly Div Option
UTI Mutual Fund,129823,UTI FTIF Series XVIII - XI (1095  Days) - Maturity Div Option
UTI Mutual Fund,129820,UTI FTIF Series XVIII - XI (1095 Days) - Annual Div Option - Direct
UTI Mutual Fund,129817,UTI FTIF Series XVIII - XI (1095 Days) - Growth Option
UTI Mutual Fund,129818,UTI FTIF Series XVIII - XI (1095 Days) - Growth Option - Direct
UTI Mutual Fund,129821,UTI FTIF Series XVIII - XI (1095 Days) - Quarterly Div Option
UTI Mutual Fund,129822,UTI FTIF Series XVIII - XI (1095 Days) - Quarterly Div Option -Direct
UTI Mutual Fund,129819,UTI FTIF Series XVIII - XI (1095 Days) -Annual Div Option
UTI Mutual Fund,129827,UTI FTIF Series XVIII - XII (366 Days) - Growth Option
UTI Mutual Fund,129834,UTI FTIF Series XVIII - XII (366 Days) - Growth Option - Direct
UTI Mutual Fund,129833,UTI FTIF Series XVIII - XII (366 Days) - Maturity Div Option - Direct
UTI Mutual Fund,130075,UTI FTIF Series XVIII - XIV(368 Days) - Annual Div Option
UTI Mutual Fund,130079,UTI FTIF Series XVIII - XIV(368 Days) - Growth Option
UTI Mutual Fund,130081,UTI FTIF Series XVIII - XIV(368 Days) - Growth Option - Direct
UTI Mutual Fund,130080,UTI FTIF Series XVIII- XIV(368 Days) - Quarterly Div Option
UTI Mutual Fund,130091,UTI FTIF Series XVIII - XV (366 Days) - Annual Div Option
UTI Mutual Fund,130092,UTI FTIF Series XVIII - XV (366 Days) - Annual Div Option - Direct
UTI Mutual Fund,130097,UTI FTIF Series XVIII - XV (366 Days) - Flexi Div Option
UTI Mutual Fund,130089,UTI FTIF Series XVIII - XV (366 Days) - Growth Option
UTI Mutual Fund,130090,UTI FTIF Series XVIII - XV (366 Days) - Growth Option - Direct
UTI Mutual Fund,130096,UTI FTIF Series XVIII - XV (366 Days) - Maturity Div Option - Direct
UTI Mutual Fund,130093,UTI FTIF Series XVIII - XV (366 Days) - Quarterly Div Option
UTI Mutual Fund,130098,UTI FTIF Series XVIII - XV (366 Days) -Flexi Div Option - Direct
UTI Mutual Fund,130094,UTI FTIF Series XVIII - XV (366 Days)- Quarterly Div Option - Direct
UTI Mutual Fund,130068,UTI FTIF Series XVIII - XIII (366 Days) - Annual Div Option
UTI Mutual Fund,130065,UTI FTIF Series XVIII - XIII(366 Days) - Growth Option
UTI Mutual Fund,130066,UTI FTIF Series XVIII - XIII(366 Days) - Growth Option - Direct
UTI Mutual Fund,130072,UTI FTIF Series XVIII - XIII(366 Days) - Maturity Div Option - Direct
UTI Mutual Fund,130070,UTI FTIF Series XVIII - XIII(366 Days) - Quarterly Div Option - Direct
UTI Mutual Fund,130067,UTI FTIF Series XVIII- XIII(366 Days) - Quarterly Div Option
UTI Mutual Fund,128559,UTI FTIF Series XVIII -I (400 DAYS)-Annual Div Option
UTI Mutual Fund,128557,UTI FTIF Series XVIII -I (400 DAYS)-Growth Option
UTI Mutual Fund,128558,UTI FTIF Series XVIII -I (400 DAYS)-Growth Option - Direct
UTI Mutual Fund,128554,UTI FTIF Series XVIII -I (400 DAYS)-Quarterly Div Option
UTI Mutual Fund,128567,UTI FTIF Series XVIII -II (1825 DAYS) - Growth Option - Direct
UTI Mutual Fund,128573,UTI FTIF Series XVIII -II (1825 DAYS)- Growth Option
UTI Mutual Fund,128564,UTI FTIF Series XVIII -II (1825 DAYS)-Annual Div Option
UTI Mutual Fund,128568,UTI FTIF Series XVIII -II (1825 DAYS)-Annual Div Option - Direct
UTI Mutual Fund,128565,UTI FTIF Series XVIII -II (1825 DAYS)-Flexi Div Option
UTI Mutual Fund,128571,UTI FTIF Series XVIII -II (1825 DAYS)-Maturity Div Option
UTI Mutual Fund,128569,UTI FTIF Series XVIII -II (1825 DAYS)-Quarterly Div Option
UTI Mutual Fund,128570,UTI FTIF Series XVIII -II (1825 DAYS)-Quarterly Div Option - Direct
UTI Mutual Fund,128662,UTI FTIF Series XVIII -III (367 DAYS) - Growth Option - Direct
UTI Mutual Fund,128661,UTI FTIF Series XVIII -III (367 DAYS)- Growth Option
UTI Mutual Fund,128667,UTI FTIF Series XVIII -III (367 DAYS)-Annual Div Option - Direct
UTI Mutual Fund,128876,UTI FTIF Series XVIII -IV (366 DAYS) - Growth Option - Direct
UTI Mutual Fund,128885,UTI FTIF Series XVIII -IV (366 DAYS)- Growth Option
UTI Mutual Fund,128878,UTI FTIF Series XVIII -IV (366 DAYS)-Annual Div Option - Direct
UTI Mutual Fund,129257,UTI FTIF Series XVIII -V (370 DAYS) - Growth Option - Direct
UTI Mutual Fund,129256,UTI FTIF Series XVIII -V (370 DAYS)- Growth Option
UTI Mutual Fund,129258,UTI FTIF Series XVIII -V (370 DAYS)-Annual Div Option
UTI Mutual Fund,129259,UTI FTIF Series XVIII -V (370 DAYS)-Annual Div Option - Direct
UTI Mutual Fund,129260,UTI FTIF Series XVIII -V (370 DAYS)-Quarterly Div Option
UTI Mutual Fund,129261,UTI FTIF Series XVIII -V (370 DAYS)-Quarterly Div Option - Direct
UTI Mutual Fund,129266,UTI FTIF Series XVIII -VI (367 DAYS) - Growth Option - Direct
UTI Mutual Fund,129274,UTI FTIF Series XVIII -VI (367 DAYS)- Growth Option
UTI Mutual Fund,129267,UTI FTIF Series XVIII -VI (367 DAYS)-Annual Div Option
UTI Mutual Fund,129271,UTI FTIF Series XVIII -VI (367 DAYS)-Maturity Div Option
UTI Mutual Fund,129272,UTI FTIF Series XVIII -VI (367 DAYS)-Maturity Div Option - Direct
UTI Mutual Fund,129269,UTI FTIF Series XVIII -VI (367 DAYS)-Quarterly Div Option
UTI Mutual Fund,129276,UTI FTIF Series XVIII -VII (368 DAYS) - Growth Option - Direct
UTI Mutual Fund,129283,UTI FTIF Series XVIII -VII (368 DAYS)- Growth Option
UTI Mutual Fund,129277,UTI FTIF Series XVIII -VII (368 DAYS)-Annual Div Option
UTI Mutual Fund,129281,UTI FTIF Series XVIII -VII (368 DAYS)-Flexi Div Option
UTI Mutual Fund,129279,UTI FTIF Series XVIII -VII (368 DAYS)-Maturity Div Option
UTI Mutual Fund,129285,UTI FTIF Series XVIII -VII (368 DAYS)-Quarterly Div Option
UTI Mutual Fund,131246,UTI FTIF Series XX - I (1099 Days) - Annual Div Option
UTI Mutual Fund,131245,UTI FTIF Series XX - I (1099 Days) - Growth Option
UTI Mutual Fund,131253,UTI FTIF Series XX - I (1099 Days) - Growth Option - Direct
UTI Mutual Fund,131250,UTI FTIF Series XX - I (1099 Days) - Maturity Div Option
UTI Mutual Fund,131248,UTI FTIF Series XX - I (1099 Days) - Quarterly Div Option
UTI Mutual Fund,131249,UTI FTIF Series XX - I (1099 Days) - Quarterly Div Option - Direct
UTI Mutual Fund,131565,UTI FTIF Series XX - II (1103 Days) - Annual Div Option
UTI Mutual Fund,131572,UTI FTIF Series XX - II (1103 Days) - Annual Div Option -Direct
UTI Mutual Fund,131446,UTI FTIF Series XX - II (1103 Days) - Growth Option
